id,public_id,planting_site_id,country_id,organization_id,subsite_type_id,plus_code,name,description,legacy,created_at,updated_at,forest_type_id,rainfall_yearly_mm,enabled,socioeconomic_impacts,additional_info_description,additional_info_title,site_code,header_image,media,organization_name,standards,subsite_area_square_meters,type,visibility,species,lat,long,area_square_meters,center_lat,center_lng,subsite_main_image.id,subsite_main_image.url,subsite_main_image.cdn_url,organization_logo.id,organization_logo.url,organization_logo.cdn_url,geofence.type,geofence.coordinates,organization.id,organization.public_id,organization.name,organization.description,organization.logo.id,organization.logo.url,organization.logo.cdn_url,organization.logo_url.id,organization.logo_url.url,organization.logo_url.cdn_url,forest_type.id,forest_type.public_id,forest_type.organization_id,forest_type.forest_category_id,forest_type.forest_group_id,forest_type.name,forest_type.description,forest_type.planting_density,forest_type.average_lifetime_years,forest_type.average_survival_rate,forest_type.co2_amount_lifetime,forest_type.working_days,forest_type.indicator_id,forest_type.native,forest_type.yield,forest_type.planting_counter_type,forest_type.forest_type_species,forest_type.palette_id,forest_type.color_palette.name,forest_type.color_palette.dark,forest_type.color_palette.light,forest_type.forest_group.id,forest_type.forest_group.public_id,forest_type.forest_group.name,planting_site.id,planting_site.visibility,planting_site.name,planting_site.description,planting_site.country.id,planting_site.country.full_name,planting_site.country.name
136,vilcanota-vilcanota-per,68,0,48,25,57R9XV2J+M5,Vilcanota,,0,2023-06-15T16:26:57.000000Z,2023-06-15T16:26:58.000000Z,51,936,1,NA,NA,NA,NA,NA,,Global Forest Generation,,263016723,Trees,2,,-13.048310730733194,-72.1195939610131,263016723,-13.048310730733194,-72.1195939610131,NA,NA,NA,16235,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/gfg%20logo.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2dmZyBsb2dvLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,48,global-forest-generation,Global Forest Generation,NA,16235,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/gfg%20logo.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2dmZyBsb2dvLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,16235,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/gfg%20logo.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2dmZyBsb2dvLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,51,polylepis,48,1,13,Polylepis,NA,0,0,0,0,0,76,NA,0,Trees,,18,Medium Grey,#cccccc,#cccccc,13,1cf00f6f-7b66-47aa-94ee-6d6cf975e059,Other,68,2,Vilcanota,NA,604,Republic of Peru,Peru
137,baza-shota-dawuro-eth,69,0,1,1,6GVV8886+JG,Baza Shota,,0,2023-06-15T17:03:25.000000Z,2023-06-15T17:03:26.000000Z,17,1944,1,NA,NA,NA,NA,NA,,Eden Reforestation Projects,,50440579,Trees,2,,7.316592975639315,37.311320908105195,50440579,7.316592975639315,37.311320908105195,NA,NA,NA,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,MultiPolygon,,1,eden-reforestation-projects,Eden Reforestation Projects,null,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,17,dry-deciduous,1,1,7,Dry Deciduous,Dry Deciduous,2500,30,92,0.308,0.4,76,NA,0,Trees,,6,Green,#6B8F04,#6B8F04,7,485ff01b-640d-4d97-8963-3c83539f0492,Dry Deciduous,69,2,Dawuro,NA,231,Federal Democratic Republic of Ethiopia,Ethiopia
139,fonds-verrettes-haiti-hti,71,0,27,26,77CCC42P+2M,Fonds-Verrettes,,0,2023-06-15T18:55:37.000000Z,2023-06-15T18:55:37.000000Z,53,720,1,NA,NA,NA,NA,NA,,Plant with Purpose,,105731426,Trees,2,,18.40005069056328,-71.8633142154189,105731426,18.40005069056328,-71.8633142154189,NA,NA,NA,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,27,plant-with-purpose,Plant with Purpose,NA,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,53,agroforestry-c,27,1,3,Agroforestry,NA,0,0,0,0,0,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,71,2,Haiti,NA,332,Republic of Haiti,Haiti
140,shengena-west-shengena-afg,72,0,27,26,6G7VGXXM+7Q,Shengena West,,0,2023-06-15T19:17:32.000000Z,2023-06-15T19:17:32.000000Z,53,840,1,NA,NA,NA,NA,NA,,Plant with Purpose,,382558259,Trees,2,,-4.451756467658956,37.98448818235511,382558259,-4.451756467658956,37.98448818235511,NA,NA,NA,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,27,plant-with-purpose,Plant with Purpose,NA,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,662,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/PWP-Logo-Light-Green.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1BXUC1Mb2dvLUxpZ2h0LUdyZWVuLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,53,agroforestry-c,27,1,3,Agroforestry,NA,0,0,0,0,0,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,72,2,Shengena,NA,834,United Republic of Tanzania,Tanzania
141,tatar-sekongkang-idn,73,0,50,27,6P2VW2JX+45,Tatar,,0,2023-07-04T13:43:34.000000Z,2023-07-04T13:43:34.000000Z,54,864,1,NA,NA,NA,NA,NA,,Flocus,,122137223,Trees,2,,-9.069648880592744,117.04790480076022,122137223,-9.069648880592744,117.04790480076022,NA,NA,NA,NA,NA,NA,MultiPolygon,,50,flocus,Flocus,NA,NA,NA,NA,NA,NA,NA,54,kapok,50,1,13,Kapok,NA,0,0,0,0,0,76,NA,0,Trees,,18,Medium Grey,#cccccc,#cccccc,13,1cf00f6f-7b66-47aa-94ee-6d6cf975e059,Other,73,2,Sekongkang,NA,360,Republic of Indonesia,Indonesia
142,cerro-pelon-monarch-butterfly-biosphere-reserve-mex,74,0,51,28,75FX9PPR+7R,Cerro Pelon,,0,2023-07-04T14:11:04.000000Z,2023-07-04T14:11:05.000000Z,55,456,1,NA,NA,NA,NA,NA,,Monarch Butterfly Fund,,149443689,Trees,2,,19.38571109241743,-100.25796767397013,149443689,19.38571109241743,-100.25796767397013,NA,NA,NA,NA,NA,NA,MultiPolygon,,51,monarch-joint-venture,Monarch Butterfly Fund,NA,NA,NA,NA,NA,NA,NA,55,subtropical-coniferus,51,1,16,Subtropical Coniferus,NA,0,0,0,0,0,76,NA,0,Trees,,4,Yellow,#F2DC0F,#F2DC0F,16,b5d6ed8c-770b-4726-bb63-933a25b2a28d,Subtropical,74,2,Monarch Butterfly Biosphere Reserve,NA,484,United Mexican States,Mexico
143,sal-del-rey-lower-rio-grande-valley-national-wildlife-refuge-usa,75,0,29,9,76R3GW9V+MC,Sal Del Rey,,0,2023-07-04T14:27:41.000000Z,2023-07-04T14:27:41.000000Z,56,504,1,NA,NA,NA,NA,NA,,American Forests,,6371256,Trees,2,,26.51924727408861,-98.0563857329201,6371256,26.51924727408861,-98.0563857329201,NA,NA,NA,2385,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/American%20Forest_Primary.svg,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL0FtZXJpY2FuIEZvcmVzdF9QcmltYXJ5LnN2ZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,29,american-forests,American Forests,null,2385,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/American%20Forest_Primary.svg,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL0FtZXJpY2FuIEZvcmVzdF9QcmltYXJ5LnN2ZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,2385,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/American%20Forest_Primary.svg,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL0FtZXJpY2FuIEZvcmVzdF9QcmltYXJ5LnN2ZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,56,thorny-forest,29,1,13,Thorny Forest,NA,0,0,0,0,0,76,NA,0,Trees,,18,Medium Grey,#cccccc,#cccccc,13,1cf00f6f-7b66-47aa-94ee-6d6cf975e059,Other,75,2,Lower Rio Grande Valley National Wildlife Refuge,NA,840,United States of America,United States
144,homa-bay-homa-bay-county-ken,76,0,28,8,6GFPCF98+Q2,Homa Bay,,0,2023-07-04T14:41:07.000000Z,2023-07-04T14:41:07.000000Z,20,1008,1,NA,NA,NA,NA,NA,,Trees for the Future,,188773726,Trees,2,,-0.5805805724677954,34.465013140634646,188773726,-0.5805805724677954,34.465013140634646,NA,NA,NA,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,28,trees-for-the-future,Trees for the Future,null,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,20,agroforestry,28,4,3,Agroforestry,NA,1536,25,70,0.126,0.01,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,76,2,Homa Bay County,NA,404,Republic of Kenya,Kenya
145,arara-para-bra,77,0,28,8,68882744+29,Arara,,0,2023-07-04T14:45:31.000000Z,2023-07-04T14:45:32.000000Z,20,528,1,NA,NA,NA,NA,NA,,Trees for the Future,,3989940394,Trees,2,,-3.9949072897691997,-53.74404755999294,3989940394,-3.9949072897691997,-53.74404755999294,NA,NA,NA,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,28,trees-for-the-future,Trees for the Future,null,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,20,agroforestry,28,4,3,Agroforestry,NA,1536,25,70,0.126,0.01,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,77,2,Para,NA,76,Federative Republic of Brazil,Brazil
146,daringbadi-odisha-ind,78,0,28,8,7MF6W28P+CV,Daringbadi,,0,2023-07-04T14:49:17.000000Z,2023-07-04T14:49:17.000000Z,20,1128,1,NA,NA,NA,NA,NA,,Trees for the Future,,323337773,Trees,2,,19.916118612190953,84.03717103656409,323337773,19.916118612190953,84.03717103656409,NA,NA,NA,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,MultiPolygon,,28,trees-for-the-future,Trees for the Future,null,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,2373,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/TREES-Logo-FullColor.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL1RSRUVTLUxvZ28tRnVsbENvbG9yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciJ9LCJyb3RhdGUiOjB9fQ==,20,agroforestry,28,4,3,Agroforestry,NA,1536,25,70,0.126,0.01,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,78,2,Odisha,NA,356,Republic of India,India
147,mumm-basin-jasper-national-park-can,79,0,52,29,9553435X+W8,Mumm Basin,,0,2023-07-04T15:06:17.000000Z,2023-07-04T15:06:18.000000Z,57,216,1,NA,NA,NA,NA,NA,,Parks Canada,,515040007,Trees,2,,53.10983615373193,-118.90171029462667,515040007,53.10983615373193,-118.90171029462667,NA,NA,NA,NA,NA,NA,MultiPolygon,,52,parks-canada,Parks Canada,NA,NA,NA,NA,NA,NA,NA,57,subalpine-coniferous,52,1,13,Subalpine Coniferous,NA,0,0,0,0,0,76,NA,0,Trees,,18,Medium Grey,#cccccc,#cccccc,13,1cf00f6f-7b66-47aa-94ee-6d6cf975e059,Other,79,2,Jasper National Park,NA,124,Canada,Canada
148,elephant-hill-ashcroft-can,80,0,53,30,942WRP4W+7Q,Elephant Hill,,0,2023-07-04T15:45:38.000000Z,2023-07-04T15:45:38.000000Z,58,216,1,NA,NA,NA,NA,NA,,One Tree Planted,,82307505,Trees,2,,50.80573958477686,-121.25305411504826,82307505,50.80573958477686,-121.25305411504826,NA,NA,NA,NA,NA,NA,MultiPolygon,,53,one-tree-planted,One Tree Planted,NA,NA,NA,NA,NA,NA,NA,58,interior-douglas-fir-a,53,1,8,Interior Douglas Fir,NA,0,0,0,0,0,76,NA,0,Trees,,16,Chocolate Brown,#896360,#5F3E3C,8,146bc0e8-fe57-4a8e-af3d-c6f7262637db,Interior Douglas Fir,80,2,Ashcroft,NA,124,Canada,Canada
149,nelson-creek-plumas-national-forest-usa,81,0,53,30,84FXR5JR+PJ,Nelson Creek,,0,2023-07-04T15:53:04.000000Z,2023-07-04T15:53:04.000000Z,58,288,1,NA,NA,NA,NA,NA,,One Tree Planted,,18098460,Trees,2,,39.83184568717319,-120.80846065755668,18098460,39.83184568717319,-120.80846065755668,NA,NA,NA,NA,NA,NA,MultiPolygon,,53,one-tree-planted,One Tree Planted,NA,NA,NA,NA,NA,NA,NA,58,interior-douglas-fir-a,53,1,8,Interior Douglas Fir,NA,0,0,0,0,0,76,NA,0,Trees,,16,Chocolate Brown,#896360,#5F3E3C,8,146bc0e8-fe57-4a8e-af3d-c6f7262637db,Interior Douglas Fir,81,2,Plumas National Forest,NA,840,United States of America,United States
150,landseer-glenboro-can,82,0,54,31,86X2JWV9+QJ,Landseer,<h4>HISTORY OF DEGRADATION (WHY)</h4><h4>RESTORATION (WHAT)</h4>,0,2023-07-04T16:18:13.000000Z,2023-07-04T16:18:14.000000Z,60,288,1,NA,NA,NA,NA,NA,,Jefferies Seeds Ltd,,102719351,Trees,2,,49.64444719232604,-99.08091609356853,102719351,49.64444719232604,-99.08091609356853,NA,NA,NA,NA,NA,NA,MultiPolygon,,54,jefferies-seeds-ltd,Jefferies Seeds Ltd,NA,NA,NA,NA,NA,NA,NA,60,terrestrial-a,54,1,17,Terrestrial,NA,0,0,0,0,0,76,NA,0,Trees,,5,Lime,#BEDC09,#BEDC09,17,89956ff3-8d78-49ed-bc29-d10a2ac7e073,Terrestrial,82,2,Glenboro,NA,124,Canada,Canada
151,ampohibe-antsirabato-mdg,83,0,55,32,5HPGX8F9+MR,Ampohibe,,0,2023-07-04T16:30:26.000000Z,2023-07-04T16:30:26.000000Z,61,2424,1,NA,NA,NA,NA,NA,,WeForest,,8482534,Trees,2,,-15.025801755370884,50.31962227075511,8482534,-15.025801755370884,50.31962227075511,NA,NA,NA,NA,NA,NA,MultiPolygon,,55,weforest,WeForest,NA,NA,NA,NA,NA,NA,NA,61,mangroves,55,1,9,Mangroves,NA,0,0,0,0,0,76,NA,0,Trees,,1,Dark Orange,#CF6402,#CF6402,9,8ed6cb65-3d56-4fa6-8b33-e7b0f99b23d2,Mangrove,83,2,Antsirabato,NA,450,Republic of Madagascar,Madagascar
152,mukono-mukono-uga,84,0,57,33,6GGJ9Q33+9Q,Mukono,,0,2023-07-04T16:38:00.000000Z,2023-07-04T16:38:01.000000Z,62,864,1,NA,NA,NA,NA,NA,,4-H Million Trees,,33335150,Trees,2,,0.35349161692086073,32.75444714422636,33335150,0.35349161692086073,32.75444714422636,NA,NA,NA,NA,NA,NA,MultiPolygon,,57,4-h-million-trees,4-H Million Trees,NA,NA,NA,NA,NA,NA,NA,62,agroforest,57,1,3,Agroforest,NA,0,0,0,0,0,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,84,2,Mukono,NA,800,Republic of Uganda,Uganda
153,nathenje-nathenje-mwi,85,0,56,34,5GQMWWC6+2P,Nathenje,,0,2023-07-04T16:43:28.000000Z,2023-07-04T16:43:29.000000Z,63,648,1,NA,NA,NA,NA,NA,,Urunji Child-Care Trust,,14127995,Trees,2,,-14.079900946455721,33.911841376585734,14127995,-14.079900946455721,33.911841376585734,NA,NA,NA,NA,NA,NA,MultiPolygon,,56,urunji-child-care-trust,Urunji Child-Care Trust,NA,NA,NA,NA,NA,NA,NA,63,agroforest-a,56,1,3,Agroforest,NA,0,0,0,0,0,76,NA,0,Trees,,3,Bright Yellow,#F2B30F,#F2B30F,3,80c4948b-448d-4aee-8495-55815e1a33b7,Agroforestry,85,2,Nathenje,NA,454,Republic of Malawi,Malawi
154,phnom-penh-phnom-penh-khm,86,0,58,35,7P36HWQJ+9W,Phnom Penh,,0,2023-07-04T16:50:25.000000Z,2023-07-04T16:50:26.000000Z,64,624,1,NA,NA,NA,NA,NA,,Luc Forsyth,,759187683,Trees,2,,11.58844753657205,104.93236450224684,759187683,11.58844753657205,104.93236450224684,NA,NA,NA,NA,NA,NA,MultiPolygon,,58,luc-forsyth,Luc Forsyth,NA,NA,NA,NA,NA,NA,NA,64,cambodia-terrestrial,58,1,17,Cambodia Terrestrial,NA,0,0,0,0,0,76,NA,0,Trees,,5,Lime,#BEDC09,#BEDC09,17,89956ff3-8d78-49ed-bc29-d10a2ac7e073,Terrestrial,86,2,Phnom Penh,NA,116,Kingdom of Cambodia,Cambodia
167,ankilahila-ambalika-mdg,94,0,1,1,5HP8CGC2+H5,Ankilahila,,0,2023-12-14T00:00:03.000000Z,2023-12-14T23:14:25.000000Z,37,NA,1,NA,NA,NA,NA,NA,,Eden Reforestation Projects,,1835832,Trees,0,,-15.578532481545837,46.500449540977314,1835832,-15.578532481545837,46.500449540977314,NA,NA,NA,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,MultiPolygon,,1,eden-reforestation-projects,Eden Reforestation Projects,null,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,2375,https://veritreephotos.s3.us-east-2.amazonaws.com/organizations/logo-eden.png,https://d38us48sb13m7f.cloudfront.net/eyJidWNrZXQiOiJ2ZXJpdHJlZXBob3RvcyIsImtleSI6Im9yZ2FuaXphdGlvbnNcL2xvZ28tZWRlbi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0IjoiY292ZXIifSwicm90YXRlIjowfX0=,37,madagascar-mangrove,1,2,9,Madagascar Mangrove,"Mangrove forests are well known for their exceptional value in terms of ecosystem services. Apart of carbon cycling, mangroves also provide significant silt filtration, fish nurseries, and protection against storm surges.",20000,25,75,0.333,0,76,NA,0,Trees,,1,Dark Orange,#CF6402,#CF6402,9,8ed6cb65-3d56-4fa6-8b33-e7b0f99b23d2,Mangrove,94,0,Ambalika,NA,450,Republic of Madagascar,Madagascar
